kytreasno,type,maturity_date,ttm,cpn_rate,price,reported_ytm_percent,calculated_ytm_percent,ytm_difference_bps
207561,note,2027-06-30,2.165639972621492,0.5,93.60742185,3.5950637153033593,55.690025810642176,5209.4962095338815
208256,note,2027-07-15,2.206707734428474,4.375,101.6289062,3.6045275185380374,3.5243532877363872,-8.017423080165024
207581,note,2027-07-31,2.250513347022587,0.375,93.1015625,3.5937483157150405,42.226902226525084,3863.3153910810042
207916,note,2027-07-31,2.250513347022587,2.75,98.17773435,3.6032230662247136,3.517815660159803,-8.54074060649107
207130,note,2027-08-15,2.291581108829569,2.25,97.0957031,3.584262053111864,3.47293179722629,-11.13302558855743
208274,note,2027-08-15,2.291581108829569,3.75,100.3515625,3.593482376571,3.601687304435714,0.8204927864714079
204090,bond,2027-08-15,2.291581108829569,6.375,106.1796875,3.5512195495794865,3.7619079222122984,21.068837263281196
207594,note,2027-08-31,2.335386721423682,0.5,93.1484375,3.5840290479981265,55.378922963198285,5179.4893915200155
207930,note,2027-08-31,2.335386721423682,3.125,98.96679685,3.5872751143124937,3.5606139238120207,-2.666119050047308
208288,note,2027-09-15,2.376454483230664,3.375,99.55273435,3.569695545801732,3.563582049244872,-0.6113496556860165
207947,note,2027-09-30,2.417522245037645,4.125,101.28906245,3.563556480677077,3.581347832767994,1.7791352090917174
207610,note,2027-09-30,2.417522245037645,0.375,92.6289062,3.5852872363985275,42.569522455130716,3898.4235218732188
208303,note,2027-10-15,2.458590006844627,3.875,100.66992185,3.5880151902848665,3.592420060688674,0.4404870403807576
207960,note,2027-10-31,2.502395619438741,4.125,101.2832031,3.5803339825470903,3.583799646710764,0.3465664163673776
207625,note,2027-10-31,2.502395619438741,0.5,92.671875,3.587546430732802,55.775619618089976,5218.807318735718
208317,note,2027-11-15,2.543463381245722,4.125,101.2910156,3.5855236632315712,3.5805305863434396,-0.4993076888131637
207158,note,2027-11-15,2.543463381245722,2.25,96.78125,3.5832295950886115,3.608010128169735,2.478053308112363
204091,bond,2027-11-15,2.543463381245722,6.125,106.1835937,3.5549998343264546,3.5194664593933194,-3.5533374933135327
207973,note,2027-11-30,2.584531143052704,3.875,100.6972656,3.5900762716178916,3.5809353658280605,-0.9140905789831177
207637,note,2027-11-30,2.584531143052704,0.625,92.7597656,3.583085528822716,68.96220269629434,6537.911716747162
208333,note,2027-12-15,2.625598904859685,4.0,101.0800781,3.565305906808991,3.544728247408868,-2.0577659400122794
207989,note,2027-12-31,2.669404517453799,3.875,100.78515625,3.5613483234411705,3.5440462375815085,-1.730208585966203
207653,note,2027-12-31,2.669404517453799,0.625,92.5253906,3.5858244419936005,69.18480699642147,6559.898255442788
208345,note,2028-01-15,2.71047227926078,4.25,101.6894531,3.58785284189036,3.53793650880644,-4.991633308392002
207666,note,2028-01-31,2.754277891854894,0.75,92.640625,3.5793490747403123,81.90890303063976,7832.955395589945
208002,note,2028-01-31,2.754277891854894,3.5,99.77148435,3.586361693670659,3.581015987556644,-0.5345706114014831
207186,note,2028-02-15,2.795345653661875,2.75,97.8007812,3.5830732702393684,3.529005526657083,-5.4067743582285335
208358,note,2028-02-15,2.795345653661875,4.25,101.75,3.585316891832857,3.629064907749487,4.374801591663021
207677,note,2028-02-29,2.833675564681725,1.125,93.4394531,3.5800672709992645,3.445587751332645,-13.44795196666193
208015,note,2028-02-29,2.833675564681725,4.0,101.09375,3.5898712477157257,3.6120275041005394,2.215625638481364
208373,note,2028-03-15,2.874743326488706,3.875,100.83203125,3.5669979353358796,3.580023702064097,1.302576672821687
208032,note,2028-03-31,2.91854893908282,3.625,100.14648435,3.570325158345611,3.573073675383282,0.2748517037671344
207691,note,2028-03-31,2.91854893908282,1.25,93.57812495,3.586719789408299,3.5245808935074083,-6.213889590089075
208386,note,2028-04-15,2.959616700889801,3.75,100.46484375,3.581913232594802,3.5851866234320755,0.3273390837273127
208044,note,2028-04-30,3.000684462696783,3.5,99.74023435,3.5911691621512984,3.5921124058559752,0.09432437046770492
207704,note,2028-04-30,3.000684462696783,1.25,93.39648435,3.590702865799056,3.591572697148416,0.08698313493600562
207215,note,2028-05-15,3.041752224503765,2.875,97.9375,3.596182297523187,3.606537264025267,1.0354966502079677
208058,note,2028-05-31,3.085557837097878,3.625,100.0800781,3.596171842968632,3.596602298620428,0.04304556517960301
207716,note,2028-05-31,3.085557837097878,1.25,93.2050781,3.5959104807555597,3.662332689730838,6.642220897527807
208075,note,2028-06-30,3.167693360711841,4.0,101.2382812,3.582695654430834,3.561138154050641,-2.1557500380193355
207732,note,2028-06-30,3.167693360711841,1.25,93.0332031,3.5965878277394845,3.726018465400215,12.943063766073099
207745,note,2028-07-31,3.252566735112936,1.0,92.08593745,3.6003678269679105,109.0618587699625,10546.149094299459
208087,note,2028-07-31,3.252566735112936,4.125,101.58593745,3.6044419842151685,3.638308580594909,3.3866596379740486
204092,bond,2028-08-15,3.293634496919918,5.5,106.0976562,3.524369552108242,3.6290881469227645,10.471859481452281
207247,note,2028-08-15,3.293634496919918,2.875,97.74804685,3.6070446204121698,3.5651023696074855,-4.194225080468433
207760,note,2028-08-31,3.337440109514032,1.125,92.2539062,3.607963791994795,3.4955759623284766,-11.238782966631819
208103,note,2028-08-31,3.337440109514032,4.375,102.359375,3.612800189410681,3.6507823679300153,3.7982178519334333
208118,note,2028-09-30,3.419575633127995,4.625,103.22460935,3.6112629508711516,3.635487887543852,2.422493667270029
207778,note,2028-09-30,3.419575633127995,1.25,92.45898435,3.6133615878945147,3.560719710088639,-5.26418778058757
207792,note,2028-10-31,3.504449007529089,1.375,92.67968745,3.616089717553894,3.620689195398663,0.45994778447688844
208132,note,2028-10-31,3.504449007529089,4.875,104.06249995,3.6240171388604034,3.628537694787649,0.4520555927245429
204093,bond,2028-11-15,3.545516769336071,5.25,105.30468745,3.635343537303104,3.6225944647629245,-1.2749072540179514
207269,note,2028-11-15,3.545516769336071,3.125,98.34179685,3.6237532864018975,3.6338242544419064,1.0070968040008788
208145,note,2028-11-30,3.586584531143053,4.375,102.46484375,3.6333591128087317,3.6188739335253266,-1.448517928340498
207805,note,2028-11-30,3.586584531143053,1.5,92.8984375,3.6287260628937723,3.681122839494481,5.239677660070844
207822,note,2028-12-31,3.671457905544148,1.375,92.31640625,3.6277086527590976,3.737447145475608,10.973849271651016
208160,note,2028-12-31,3.671457905544148,3.75,100.37499995,3.636038151469112,3.6349277715978006,-0.11103798713114899
207833,note,2029-01-31,3.756331279945243,1.75,93.41992185,3.6385604521021353,3.528274834670824,-11.02856174313112
208174,note,2029-01-31,3.756331279945243,4.0,101.23242185,3.642619881259268,3.665942507061331,2.3322625802062875
204094,bond,2029-02-15,3.797399041752224,5.25,106.0117187,3.5404180104738447,3.6220244338915344,8.160642341768984
207313,note,2029-02-15,3.797399041752224,2.625,96.4003906,3.646790356313634,3.599296197375042,-4.749415893859216
208188,note,2029-02-28,3.832991101984942,4.25,102.14062495,3.6465641533463433,3.669719620072228,2.315546672588473
207846,note,2029-02-28,3.832991101984942,1.875,93.72265625,3.644643292611427,3.573108206387779,-7.153508622364802
207863,note,2029-03-31,3.917864476386037,2.375,95.38085935,3.650719135136926,3.6259717716689557,-2.4747363467970267
208202,note,2029-03-31,3.917864476386037,4.125,101.69531245,3.6560792158826683,3.6654770486189028,0.9397832736234707
207876,note,2029-04-30,4.0,2.875,97.11328125,3.6571578729514,3.657321608068437,0.01637351170369339
208216,note,2029-04-30,4.0,4.625,103.55859375,3.660274658231888,3.6605285250816246,0.025386684973649487
207362,note,2029-05-15,4.041067761806982,2.375,95.2285156,3.655736221036321,3.6684170391350497,1.2680818098728674
207888,note,2029-05-31,4.084873374401095,2.75,96.56640625,3.6623936510174806,3.6810054088930366,1.861175787555569
208229,note,2029-05-31,4.084873374401095,4.5,103.14062495,3.664720521157161,3.6490207836981656,-1.5699737458995529
207905,note,2029-06-30,4.167008898015058,3.25,98.39453125,3.669240788661998,3.6853574895516794,1.6116700889681064
208244,note,2029-06-30,4.167008898015058,4.25,102.20703125,3.6742452737744005,3.6519481215667136,-2.229715220768702
207917,note,2029-07-31,4.251882272416153,2.625,95.90234375,3.675418887027293,3.6199680759554007,-5.545081107189223
208258,note,2029-07-31,4.251882272416153,4.0,101.26953125,3.675689938531068,3.6912134795630895,1.5523541032021193
207391,note,2029-08-15,4.292950034223135,1.625,92.0976562,3.6301006968331615,3.5401292299202405,-8.997146691292063
204095,bond,2029-08-15,4.292950034223135,6.125,109.77148435,3.647396145325077,3.745218950334018,9.782280500894094
207931,note,2029-08-31,4.336755646817249,3.125,97.7890625,3.678696650020763,3.662392489960345,-1.6304160060418016
208275,note,2029-08-31,4.336755646817249,3.625,99.7988281,3.6726710664594098,3.6739105192323276,0.12394527729178706
